iter	Passed	Remaining
0	4	416
1	6	337
2	9	308
3	12	293
4	14	283
5	17	274
6	20	268
7	22	262
8	25	260
9	28	256
10	31	251
11	33	246
12	36	243
13	41	254
14	45	256
15	49	259
16	52	258
17	56	257
18	59	254
19	63	252
20	67	254
21	72	256
22	76	254
23	79	251
24	83	249
25	88	250
26	91	246
27	93	241
28	96	236
29	99	232
30	102	227
31	104	222
32	107	217
33	109	213
34	112	208
35	115	205
36	118	201
37	121	197
38	124	194
39	127	190
40	130	187
41	131	181
42	134	177
43	136	174
44	139	170
45	143	168
46	145	164
47	148	160
48	151	157
49	153	153
50	156	150
51	159	147
52	162	143
53	164	140
54	166	136
55	168	132
56	172	129
57	174	126
58	177	123
59	180	120
60	183	117
61	185	113
62	188	110
63	191	107
64	193	104
65	196	101
66	198	97
67	202	95
68	205	92
69	207	89
70	210	85
71	212	82
72	216	80
73	221	77
74	226	75
75	229	72
76	232	69
77	234	66
78	237	63
79	239	59
80	242	56
81	245	53
82	248	50
83	250	47
84	253	44
85	256	41
86	259	38
87	261	35
88	264	32
89	267	29
90	269	26
91	272	23
92	275	20
93	278	17
94	280	14
95	283	11
96	286	8
97	289	5
98	291	2
99	294	0
